</b>スペインオオヤマネコ<b></b>(秋田県)<b> <small>[US]</small><>sage<>2022/07/22(金) 20:14:19.04 ID:HnFsVfdg0● BE:194767121-PLT(13001)<> sssp://img.5ch.net/ico/nida.gif <br> ナスの絵文字は職場で使用NG？　国による意味の捉え方の違いを調査 <br> https://news.yahoo.co.jp/articles/b8bd78ec232ba8791fb4e9751693055923c14599 <>スマホ野郎、5ちゃんで絵文字使うなよ？パソコンから見れねぇんだわ。  [194767121]
</b>ツシマヤマネコ<b></b>(北海道)<b> <small>[CN]</small><><>2022/07/22(金) 20:14:47.05 ID:J8xoJYra0<> &#128518; <>
</b>ヨーロッパヤマネコ<b></b>(長野県)<b> <small>[US]</small><>sage<>2022/07/22(金) 20:14:57.44 ID:i52ETWaT0 BE:323057825-PLT(12000)<> sssp://img.5ch.net/ico/syodai_mona.gif <br> &#128545; <>
</b>サビイロネコ<b></b>(大阪府)<b> <small>[ﾆﾀﾞ]</small><><>2022/07/22(金) 20:15:01.41 ID:2J/dkor70<> &#129300; <>
</b>現場猫<b></b>(東京都)<b> <small>[VN]</small><>sage<>2022/07/22(金) 20:15:25.32 ID:4sCMm0VR0<> &#128587; <>
</b>オセロット<b></b>(東京都)<b> <small>[US]</small><><>2022/07/22(金) 20:15:29.38 ID:PcTN2qJ30<> &#129683; <>
</b>ヤマネコ<b></b>(東京都)<b> <small>[ﾆﾀﾞ]</small><>sage<>2022/07/22(金) 20:16:17.30 ID:i199Aifg0<> &#128079;&#9996;&#128076;&#129327; <>
</b>ボンベイ<b></b>(東京都)<b> <small>[US]</small><>sage<>2022/07/22(金) 20:16:18.10 ID:SdbitVdu0<> &#128516;&#128064;&#128563;&#128164; <>
</b>コーニッシュレック<b></b>(和歌山県)<b> <small>[FR]</small><><>2022/07/22(金) 20:16:27.98 ID:I+obHdrd0<> 今時パソコンとかお爺ちゃんかよ&#129322; <>
</b>マンチカン<b></b>(静岡県)<b> <small>[CN]</small><>sage<>2022/07/22(金) 20:16:33.87 ID:6JFbLWDx0<> &#128584; <>
</b>バリニーズ<b></b>(ジパング)<b> <small>[ﾆﾀﾞ]</small><>sage<>2022/07/22(金) 20:16:38.54 ID:CKZNKOHL0<> &#127994; <>
</b>黒トラ<b></b>(茸)<b> <small>[US]</small><>sage<>2022/07/22(金) 20:16:40.96 ID:jc/dRAIk0<> &#127817;&#128523; <>
</b>ギコ<b></b>(福島県)<b> <small>[US]</small><><>2022/07/22(金) 20:17:02.26 ID:ZXbrSA6i0<> &#129313; <>
</b>ジャガランディ<b></b>(奈良県)<b> <small>[CA]</small><><>2022/07/22(金) 20:17:04.91 ID:EOBsA3490<> ・ <>
</b>サイベリアン<b></b>(東京都)<b> <small>[ZA]</small><>sage<>2022/07/22(金) 20:17:22.77 ID:e1j3+owf0<> &#128169; <>
